"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","HASC_2","CCN_2","CCA_2","TYPE_2","ENGTYPE_2","NL_NAME_2","VARNAME_2"
120,40,"KHM","Cambodia",19,"Prey Vêng",120,"Kampong Trabaek","KH.PY.KT",NA,"","Srok","District","",""
121,40,"KHM","Cambodia",19,"Prey Vêng",121,"Kanhchriech","KH.PY.KC",NA,"","Srok","District","",""
122,40,"KHM","Cambodia",19,"Prey Vêng",122,"Me Sang","KH.PY.MS",NA,"","Srok","District","",""
123,40,"KHM","Cambodia",19,"Prey Vêng",123,"Pea Reang","KH.PY.PG",NA,"","Srok","District","",""
124,40,"KHM","Cambodia",19,"Prey Vêng",124,"Peam Chor","KH.PY.PC",NA,"","Srok","District","",""
125,40,"KHM","Cambodia",19,"Prey Vêng",125,"Peam Ro","KH.PY.PR",NA,"","Srok","District","",""
126,40,"KHM","Cambodia",19,"Prey Vêng",126,"Preah Sdach","KH.PY.PS",NA,"","Srok","District","",""
127,40,"KHM","Cambodia",19,"Prey Vêng",127,"Prey Veaeng","KH.PY.PV",NA,"","Srok","District","",""
128,40,"KHM","Cambodia",19,"Prey Vêng",128,"Sithor Kandal","KH.PY.SK",NA,"","Srok","District","",""
129,40,"KHM","Cambodia",20,"Rôtânôkiri",129,"Andoung Meas","KH.RO.AM",NA,"","Srok","District","",""
130,40,"KHM","Cambodia",20,"Rôtânôkiri",130,"Ban Lung","KH.RO.BL",NA,"","Srok","District","",""
131,40,"KHM","Cambodia",20,"Rôtânôkiri",131,"Bar Kaev","KH.RO.BK",NA,"","Srok","District","",""
132,40,"KHM","Cambodia",20,"Rôtânôkiri",132,"Koun Mom","KH.RO.KM",NA,"","Srok","District","",""
133,40,"KHM","Cambodia",20,"Rôtânôkiri",133,"Lumphat","KH.RO.LP",NA,"","Srok","District","",""
134,40,"KHM","Cambodia",20,"Rôtânôkiri",134,"Ou Chum","KH.RO.OC",NA,"","Srok","District","",""
135,40,"KHM","Cambodia",20,"Rôtânôkiri",135,"Ou Ya Dav","KH.RO.OY",NA,"","Srok","District","",""
136,40,"KHM","Cambodia",20,"Rôtânôkiri",136,"Ta Veaeng","KH.RO.TV",NA,"","Srok","District","",""
137,40,"KHM","Cambodia",20,"Rôtânôkiri",137,"Veun Sai","KH.RO.VS",NA,"","Srok","District","",""
138,40,"KHM","Cambodia",21,"Siemréab",138,"Angkor Chum","KH.SI.AC",NA,"","Srok","District","",""
139,40,"KHM","Cambodia",21,"Siemréab",139,"Angkor Thum","KH.SI.AT",NA,"","Srok","District","",""
